Date,Close/Last,Volume,Open,High,Low
11/29/2024,$64.74,2225476,$64.75,$65.005,$64.65
11/27/2024,$64.91,3006582,$64.69,$65.04,$64.55
11/26/2024,$64.79,3616911,$65.06,$65.07,$64.4312
11/25/2024,$65.05,3328569,$65.96,$66.11,$65.00
11/22/2024,$66.03,3597854,$65.73,$66.22,$65.68
11/21/2024,$66.27,3951162,$65.98,$66.385,$65.8479
11/20/2024,$65.43,2743029,$65.59,$65.76,$65.12
11/19/2024,$65.81,2892520,$65.88,$66.18,$65.56
11/18/2024,$66.32,3329354,$66.11,$66.57,$65.915
11/15/2024,$65.47,4349310,$65.49,$65.77,$65.27
11/14/2024,$65.79,5438087,$65.88,$66.12,$65.65
11/13/2024,$65.48,5945070,$65.01,$65.80,$64.46
11/12/2024,$65.57,6833881,$65.84,$66.01,$64.9479
11/11/2024,$66.84,4718512,$66.69,$66.91,$66.34
11/08/2024,$67.06,4155931,$67.67,$67.68,$66.675
11/07/2024,$68.61,5233977,$68.62,$68.825,$68.195
11/06/2024,$68.35,7714955,$67.14,$68.44,$66.865
11/05/2024,$68.22,4016691,$68.48,$68.61,$67.895
11/04/2024,$67.74,4849899,$68.19,$68.54,$67.605
11/01/2024,$67.49,8591310,$68.01,$68.09,$67.29
10/31/2024,$67.55,11464930,$66.31,$67.69,$66.26
10/30/2024,$65.58,4035047,$65.34,$65.7599,$65.11
10/29/2024,$65.28,3435490,$65.77,$65.81,$65.095
10/28/2024,$66.04,4784845,$65.31,$66.145,$65.20
10/25/2024,$66.85,3356355,$66.92,$67.0903,$66.605
10/24/2024,$66.41,3117426,$66.89,$67.065,$66.26
10/23/2024,$66.53,2755717,$66.64,$66.82,$66.085
10/22/2024,$67.01,3070503,$67.02,$67.37,$66.86
10/21/2024,$67.05,3309669,$67.40,$67.59,$66.87
10/18/2024,$67.04,2336306,$67.065,$67.17,$66.57
10/17/2024,$67.34,3925122,$66.87,$67.34,$66.73
10/16/2024,$66.64,4388765,$66.72,$66.995,$66.44
10/15/2024,$66.08,4848618,$66.36,$66.47,$65.97
10/14/2024,$68.38,2516661,$68.24,$68.56,$68.04
10/11/2024,$68.49,2992024,$68.56,$68.86,$68.40
10/10/2024,$68.84,2486917,$68.65,$68.86,$68.26
10/09/2024,$68.22,3572047,$67.80,$68.495,$67.67
10/08/2024,$68.27,4382107,$68.98,$69.07,$67.97
10/07/2024,$70.23,6160842,$69.27,$70.555,$69.115
10/04/2024,$68.51,4340555,$68.41,$68.845,$68.10
10/03/2024,$68.46,3988747,$67.60,$68.56,$67.36
10/02/2024,$67.82,4078640,$68.30,$68.3989,$67.335
10/01/2024,$66.87,7269776,$65.65,$67.19,$65.53
09/30/2024,$65.95,7797171,$65.94,$66.23,$65.68
09/27/2024,$66.11,4086283,$65.64,$66.21,$65.59
09/26/2024,$65.34,10901000,$64.93,$65.73,$64.80
09/25/2024,$68.02,3492400,$68.83,$68.895,$67.7809
09/24/2024,$69.41,2959174,$69.55,$69.74,$69.295
09/23/2024,$69.08,3656096,$69.06,$69.645,$68.845
09/20/2024,$68.72,3218593,$68.72,$69.02,$68.27
09/19/2024,$69.17,4057702,$69.12,$69.63,$68.81
09/18/2024,$68.17,3039792,$68.37,$68.74,$67.97
09/17/2024,$68.15,3836071,$67.94,$68.325,$67.85
09/16/2024,$68.06,2863064,$67.92,$68.18,$67.44
09/13/2024,$67.45,3318506,$67.44,$67.855,$67.245
09/12/2024,$66.98,5195943,$66.39,$67.18,$66.10
09/11/2024,$66.21,5704505,$66.81,$66.84,$65.605
09/10/2024,$65.90,10275510,$67.31,$67.34,$63.73
09/09/2024,$67.43,4239748,$67.02,$67.775,$66.97
09/06/2024,$66.91,5196362,$67.83,$68.06,$66.645
09/05/2024,$68.12,3320047,$68.89,$69.035,$68.04
09/04/2024,$68.51,5955976,$68.80,$69.27,$68.37
09/03/2024,$69.38,4175894,$69.70,$69.84,$69.13
08/30/2024,$71.66,3847106,$71.09,$71.67,$70.805
08/29/2024,$72.52,2711722,$71.98,$72.55,$71.77
08/28/2024,$71.95,2986711,$71.71,$72.135,$71.47
08/27/2024,$72.64,2693914,$72.87,$72.915,$72.39
08/26/2024,$73.07,2252030,$72.93,$73.40,$72.87
08/23/2024,$72.43,3512937,$71.65,$72.5275,$71.64
08/22/2024,$71.45,2094303,$71.13,$71.565,$71.05
08/21/2024,$71.29,2121998,$71.44,$71.765,$71.20
08/20/2024,$71.40,3722995,$72.55,$72.55,$71.33
08/19/2024,$72.87,2706901,$72.94,$73.66,$72.735
08/16/2024,$72.68,3021388,$72.36,$72.74,$72.145
08/15/2024,$73.17,2748558,$73.21,$73.43,$72.925
08/14/2024,$72.92,2422763,$72.78,$73.01,$72.57
08/13/2024,$72.30,2564839,$72.17,$72.41,$71.745
08/12/2024,$72.42,2561235,$72.14,$72.57,$72.03
08/09/2024,$71.88,4546040,$71.07,$72.18,$70.805
08/08/2024,$71.35,2501145,$70.84,$71.655,$70.81
08/07/2024,$70.66,4165650,$70.56,$71.19,$70.53
08/06/2024,$69.72,6474368,$68.64,$70.06,$68.54
08/05/2024,$69.99,5357967,$68.93,$70.265,$68.59
08/02/2024,$71.68,4216225,$71.96,$72.19,$71.11
08/01/2024,$72.94,5673079,$73.96,$74.46,$72.10
07/31/2024,$73.22,4189661,$73.31,$73.53,$72.97
07/30/2024,$71.97,4550720,$71.18,$72.02,$71.09
07/29/2024,$71.84,2222286,$72.26,$72.27,$71.37
07/26/2024,$72.05,2821584,$72.04,$72.49,$71.65
07/25/2024,$72.09,5122833,$71.12,$72.555,$70.82
07/24/2024,$71.18,2800232,$71.74,$71.97,$71.15
07/23/2024,$71.31,2851808,$71.765,$71.78,$70.98
07/22/2024,$72.21,2981050,$72.44,$72.715,$72.18
07/19/2024,$72.25,3878567,$72.77,$72.96,$72.22
07/18/2024,$73.25,4577858,$73.76,$74.02,$73.05
07/17/2024,$73.28,2393805,$73.10,$73.485,$72.915
07/16/2024,$72.68,2527807,$72.40,$72.72,$71.8505
07/15/2024,$72.96,2373637,$73.38,$73.41,$72.94
07/12/2024,$73.08,1653098,$73.25,$73.33,$72.90
07/11/2024,$72.97,2302791,$72.78,$73.00,$72.46
07/10/2024,$72.93,1989494,$72.75,$72.9701,$72.50
07/09/2024,$72.58,2648559,$72.60,$73.0201,$72.42
07/08/2024,$72.72,2492700,$73.05,$73.24,$72.62
07/05/2024,$73.25,3754645,$73.94,$73.94,$73.10
07/03/2024,$73.01,1570244,$73.00,$73.53,$72.94
07/02/2024,$73.04,3041983,$73.15,$73.21,$72.65
